company,location,total_laid_off,date,announcement_date_verified,percentage_laid_off,industry,sourceweb,stage,funds_raised,country,notes,source,ai_mentioned
Zebra Technologies,"Lincolnshire, Illinois",,12/12/2025,,,Hardware,https://www.therobotreport.com/zebra-technologies-winding-down-fetch-based-mobile-robot-group/,Post-IPO,,United States,"Is winding down its autonomous mobile robot (AMR) business, which was built after it acquired Fetch Robotics in 2021, per a report. The Illinois-based company is now considering whether to sell the AMR unit or shut it down, with most employees expected to leave by the end of 2025.",techcrunch,0
Amazon,"Seattle, Washington",84,12/15/2025,,,Retail,https://www.geekwire.com/2025/filing-amazon-cuts-84-jobs-in-washington-state-unrelated-to-broader-layoffs/,Post-IPO,,United States,"Is cutting 84 jobs in Seattle and Bellevue in its latest round of layoffs, according to several media reports. The reductions affect roles across engineering, recruiting, software development, and product management. The layoffs are scheduled for February 2 through February 23, 2026, and affected employees will receive at least 90 days of pay, benefits, and job transition assistance.",techcrunch,0
Payoneer,New York City,60,12/08/2025,,,Fintech,https://www.calcalistech.com/ctechnews/article/s1fu4c4zzg,Post-IPO,,United States,"Will let go of about 30 employees in Israel and a similar number of staff overseas, bringing the total reduction to roughly 6% of its global workforce.",techcrunch,0
Mobileye,"Jerusalem, Israel",200,12/08/2025,,,Hardware,https://www.calcalistech.com/ctechnews/article/hjznnzvzzl,Post-IPO,,Israel,"Is reportedly cutting 200 employees, about 4% of its global workforce. With over 3,000 of its 4,300 employees based in Israel, most of the cuts will affect its local teams.",techcrunch,0
Intel,"Santa Clara, California","21,000",12/09/2025,,,Hardware,https://techcrunch.com/2025/04/22/intel-reportedly-plans-to-lay-off-over-21000-employees/,Post-IPO,,United States,"The company continued with its stated goal of cutting a significant amount of its workforce this year, with 59 Bay Area jobs eliminated effective November 30, in a Employment Development Department filing caught by KRON4.",techcrunch,1
HP,"Palo Alto, California, USA",4000-6000,11/26/2025,,,Hardware,https://www.reuters.com/business/hp-cut-about-6000-jobs-by-2028-ramps-up-ai-efforts-2025-11-25/,Post-IPO,,United States,"Is reportedly set to cut 4,000 to 6,000 jobs worldwide by 2028 as it looks to streamline operations and leverage AI to speed up product development and boost efficiency.",techcrunch,1
Apple,"Cupertino, California, USA",100,11/25/2025,,,Hardware,https://www.bloomberg.com/news/articles/2025-11-24/apple-aapl-cuts-jobs-across-its-sales-organization-in-rare-layoff,Post-IPO,,United States,"Is cutting several sales positions handling accounts ranging from business and schools to government agencies, as it moves to streamline how it sells devices and services to businesses, schools, and government agencies, Bloomberg reports.",techcrunch,0
Playtika,"Herzliya, Israel",700¨C800 ,11/17/2025,,,Consumer,https://www.calcalistech.com/ctechnews/article/h1y4ejyg11g,Post-IPO,,Israel,"Announced plans to lay off about 20% of its workforce, 700 to 800 employees, next month, marking its fifth round of cuts since 2022, according to Calcalist. The Nasdaq-listed gaming company, valued at $1.5 billion, employs about 3,500 people.",techcrunch,0
Synopsys,"Sunnyvale, California, USA",2000,11/12/2025,,,Hardware,https://fintechbusinessweekly.substack.com/p/celtic-bank-faces-another-lawsuit,Post-IPO,,United States,"Plans to cut roughly 10% of its workforce and close several sites as part of a restructuring tied to its recent acquisition of Ansys, The Wall Street Journal reported. The layoffs, which are expected to affect about 2,000 employees, are scheduled to take place during fiscal 2026, which began November 1.",techcrunch,1
Hewlett-Packard,"San Jose, California, USA",2552,11/05/2025,,,Hardware,https://www.sfchronicle.com/tech/article/layoffs-hpe-hitachi-vantara-21140900.php,Post-IPO,,United States,"Is removing 52 positions at its San Jose campus, according to reporting from the San Francisco Chronicle. The layoffs, which began last month and will continue through November, affect employees across cloud development, engineering, and product management.",techcrunch,0
