company,location,total_laid_off,date,announcement_date_verified,percentage_laid_off,industry,sourceweb,stage,funds_raised,country,notes,source,ai_mentioned
Peloton,"New York, USA",200-250,08/07/2025,2025/8/7,,Consumer,https://www.theverge.com/news/754154/peloton-q4-2025-earnings-layoffs-wellness-price,Post-IPO,,United States,Will cut 6% of its workforce in its sixth layoff in just over a year. Peloton CEO Peter Stern said the cuts are needed to improve long-term business health.,techcrunch,0
Siemens ,"Munich, Germany",2000-3000,03/18/2025,2025/3/18,,Hardware,https://press.siemens.com/global/en/pressrelease/siemens-strengthen-competitiveness-automation-business-and-electric-vehicle-charging,Post-IPO,,Germany,"Announced plans to let go of approximately 5,600 jobs globally in its automation and electric-vehicle charging businesses as part of efforts to improve competitiveness.",techcrunch,1
Intel,"Santa Clara, California","21,000",12/09/2025,,,Hardware,https://techcrunch.com/2025/04/22/intel-reportedly-plans-to-lay-off-over-21000-employees/,Post-IPO,,United States,"The company continued with its stated goal of cutting a significant amount of its workforce this year, with 59 Bay Area jobs eliminated effective November 30, in a Employment Development Department filing caught by KRON4.",techcrunch,1
Amazon,Seattle,14000,10/27/2025,2025/10/28,0.01,Retail,https://www.cnbc.com/2025/10/28/amazon-layoffs-corporate-workers-ai.html,Post-IPO,8100,United States,,layoffs.fyi,1
Nokia,Espoo,14000,10/19/2023,,,Hardware,https://www.reuters.com/business/media-telecom/nokia-sales-drop-slowing-5g-gear-demand-2023-10-19/,Post-IPO,,Finland,Up to figure,crunchbase,0
Verizon,New York City,13000,11/20/2025,,,Consumer,https://www.reuters.com/business/world-at-work/verizon-cutting-more-than-13000-jobs-it-restructures-2025-11-20/,Post-IPO,6600,United States,,crunchbase,0
Alphabet,SF Bay Area,12000,1/20/2023,,0.06,AI,https://www.reuters.com/business/google-parent-lay-off-12000-workers-memo-2023-01-20/,Post-IPO,,United States,,crunchbase,1
Meta,SF Bay Area,11000,11/9/2022,2022/11/9,0.13,Consumer,https://www.cnbc.com/2022/11/09/meta-to-lay-off-more-than-11000-thousand-employees.html,Post-IPO,26000,United States,,layoffs.fyi,1
Ericsson,"Stockholm, Non-U.S.",8500,2/24/2023,,0.08,Other,https://www.reuters.com/business/media-telecom/ericsson-lay-off-8500-employees-memo-2023-02-24/,Post-IPO,663,Sweden,,layoffs.fyi,0
SAP,"Walldorf, Non-U.S.",8000,1/23/2024,2024/1/23,0.07,Other,https://www.cnbc.com/2024/01/23/sap-plans-job-changes-or-buyouts-for-8000-employees-in-restructuring-plan.html,Post-IPO,1300,Germany,,layoffs.fyi,1
Dell,Austin,6650,2/6/2023,,0.05,Hardware,https://www.bloomberg.com/news/articles/2023-02-06/dell-dell-lays-off-about-6-650-employees-in-latest-tech-cuts#xj4y7vzkg,Post-IPO,,United States,,layoffs.fyi,0
Dell,Austin,6000,3/25/2024,2024/3/25,0.05,Hardware,https://siliconangle.com/2024/03/25/dell-reduces-global-workforce-around-6000-jobs/,Post-IPO,,United States,,layoffs.fyi,1
HP,SF Bay Area,6000,11/22/2022,,0.12,Hardware,https://www.reuters.com/business/hp-cut-up-6000-jobs-2022-11-22/,Post-IPO,5250,United States,,crunchbase,0
Cisco,SF Bay Area,5600,8/9/2024,8/9/2024,0.07,Infrastructure,https://techcrunch.com/2024/09/17/ciscos-second-layoff-of-2024-affect-thousands-of-employees/,Post-IPO,2,United States,,layoffs.fyi,1
Micron,Boise,4800,1/1/2023,,0.1,Hardware,https://www.forbes.com/sites/qai/2023/01/01/tech-layoffs-micron-to-lay-off-10-of-staff-due-to-low-demand-for-chips/?sh=5d303fd41472,Post-IPO,50,United States,,layoffs.fyi,0
Cisco,SF Bay Area,4100,11/16/2022,,0.05,Infrastructure,https://www.bizjournals.com/sanjose/news/2022/11/16/cisco-announces-600m-restructuring-layoffs.html,Post-IPO,2,United States,,layoffs.fyi,0
Block,SF Bay Area,4000,2/26/2026,2026/2/26,0.4,Finance,https://www.cnbc.com/2026/02/26/block-laying-off-about-4000-employees-nearly-half-of-its-workforce.html,Post-IPO,150,United States,,layoffs.fyi,1
HP,SF Bay Area,4000,2/28/2025,,0.1,Hardware,https://www.sfchronicle.com/tech/article/hp-job-cuts-tariff-concerns-20193141.php,Post-IPO,,United States,,layoffs.fyi,1
