event_id,ticker,company_x,event_dt,CAR_CAPM_short_term,CAR_FF4_short_term,percentage_laid_off,funds_raised,ai_mentioned,company_y,prior_6m_return,n_pre,layoff_pct,funds_raised_num,log_funds_raised,year
0442.HK_2022-05-10,0442.HK,Doma,2022-05-10,0.0117559232332533,0.0106998350442345,0.15,679.0,1,Doma,-0.140762259689711,122,0.15,679.0,6.520621127558696,2022
0442.HK_2022-12-06,0442.HK,Doma,2022-12-06,0.0117559232332533,0.0106998350442345,0.4,679.0,0,Doma,-0.2602545791092824,122,0.4,679.0,6.520621127558696,2022
0992.HK_2025-07-16,0992.HK,Lenovo,2025-07-16,0.0941609857716755,0.0990825771007891,0.03,850.0,0,Lenovo,-0.06032279274697805,120,0.03,850.0,6.745236349484363,2025
0A75.L_2023-12-05,0A75.L,Bill.com,2023-12-05,0.1816331513273527,0.1600399577916486,0.15,280.0,0,Bill.com,-0.41653518045739446,126,0.15,280.0,5.634789603169249,2023
0A75.L_2025-10-15,0A75.L,Bill.com,2025-10-15,0.1816331513273527,0.1600399577916486,0.06,280.0,1,Bill.com,0.0972465676521781,126,0.06,280.0,5.634789603169249,2025
5S0A.F_2022-03-29,5S0A.F,Thinkific,2022-03-29,0.0636272572845751,0.0648953253697358,0.2,22.0,1,Thinkific,-0.8144864940429983,123,0.2,22.0,3.091042453358316,2022
852.SG_2022-07-26,852.SG,Outbrain,2022-07-26,0.3634053963090097,0.3484637378569104,0.03,394.0,1,Outbrain,-0.523114870178438,56,0.03,394.0,5.976350909297934,2022
852.SG_2023-06-01,852.SG,Outbrain,2023-06-01,0.3634053963090097,0.3484637378569104,0.1,394.0,1,Outbrain,0.1775686670715393,122,0.1,394.0,5.976350909297934,2023
ABSI_2023-09-05,ABSI,Absci,2023-09-05,0.1192536788279878,0.1292268391137654,0.15,238.0,0,Absci,-0.32121625307030055,126,0.15,238.0,5.472270673671475,2023
ADSK_2023-02-02,ADSK,Autodesk,2023-02-02,0.1671943036518063,0.1613973691044543,0.02,,0,Autodesk,-0.01587015875417419,126,0.02,,0.0,2023
ADSK_2025-02-27,ADSK,Autodesk,2025-02-27,0.1671943036518063,0.1613973691044543,0.09,,1,Autodesk,0.10133584262359396,126,0.09,,0.0,2025
ADSK_2026-01-22,ADSK,Autodesk,2026-01-22,0.1671943036518063,0.1613973691044543,0.07,,0,Autodesk,-0.15482115066407465,126,0.07,,0.0,2026
AFRM_2022-11-03,AFRM,Affirm,2022-11-03,-0.0953259761585332,0.0500857151494131,0.01,1500.0,1,Affirm,-0.6470211467784082,126,0.01,1500.0,7.313220387090301,2022
AI_2026-02-25,AI,C3.ai,2026-02-25,-0.0986922466132917,-0.1114717173464052,0.26,228.0,0,C3.ai,-0.468157343019018,126,0.26,228.0,5.429345628954441,2026
AKAM_2023-05-09,AKAM,Akamai,2023-05-09,0.0383713043260093,0.0382533979304135,0.03,35.0,0,Akamai,-0.06825866949234749,126,0.03,35.0,3.5553480614894135,2023
AKAM_2024-11-07,AKAM,Akamai,2024-11-07,0.0383713043260093,0.0382533979304135,0.02,35.0,0,Akamai,0.003045169430007988,126,0.02,35.0,3.5553480614894135,2024
AL_2023-01-12,AL,Akili Labs,2023-01-12,0.052410903805673,0.0407996538150827,0.3,301.0,0,Akili Labs,0.2748617739525807,126,0.3,301.0,5.707110264748875,2023
AL_2023-09-13,AL,Akili Labs,2023-09-13,0.052410903805673,0.0407996538150827,0.4,301.0,0,Akili Labs,0.013259278884719228,126,0.4,301.0,5.707110264748875,2023
AMZN_2025-10-28,AMZN,Amazon,2025-10-28,0.1560774371353015,0.1314925767845268,0.01,8100.0,1,Amazon,0.18468836202675498,126,0.01,8100.0,8.99961934066053,2025
APP_2022-06-27,APP,AppLovin,2022-06-27,0.118513894435549,0.1872737858519053,0.12,1600.0,0,AppLovin,-0.6584817603771755,126,0.12,1600.0,7.3777589082278725,2022
ARVLF_2022-07-13,ARVLF,Arrival,2022-07-13,0.7445485603360023,0.6169310616195262,0.3,629.0,1,Arrival,-0.858456307055465,126,0.3,629.0,6.444131256700441,2022
ARVLF_2023-01-30,ARVLF,Arrival,2023-01-30,0.7445485603360023,0.6169310616195262,0.5,629.0,1,Arrival,-0.8792404190606952,126,0.5,629.0,6.444131256700441,2023
