ticker,funds_raised,log_funds_raised
8885.KL,,
FCEL,,
FSECURE.HE,,
TXG,242.0,5.493061443340548
ME,1100.0,7.00397413672268
2U9.F,426.0,6.056784013228625
EGHT,253.0,5.537334267018537
ABSI,237.0,5.472270673671475
AS,,
0PN.SG,126.0,4.844187086458591
ACCD,458.0,6.129050210060545
ACXM,,
ADPT,406.0,6.008813185442595
ADBE,2.0,1.0986122886681098
AEYE,314.0,5.752572638825633
AFRM,1500.0,7.313886831633462
ABNB,6400.0,8.764209507142004
9B5.F,26.0,3.295836866004329
AKAM,35.0,3.58351893845611
AKLI,271.0,5.605802066295998
AL,301.0,5.71042701737487
BIRD,202.0,5.313205979041787
GOOGL,,
AYX,613.0,6.419994928147142
AMZN,108.0,4.6913478822291435
AMBR,328.0,5.796057750765372
AMD,,
DOX,,
AMPL,311.0,5.7430031878094825
ADI,,
ACOM,33.0,3.5263605246161616
ANGI,180.0,5.198497031265826
APO,183.0,5.214935757608986
APPF,30.0,3.4339872044851463
APGT,,
AAPL,6200.0,8.732465848349879
AMAT,2100.0,7.650168700845001
APP,1600.0,7.3783837129967145
APTV,8.0,2.1972245773362196
ARM,,
ARVLF,629.0,6.4457198193855785
ASAN,453.0,6.118097198041348
ASML,,
AZN,300.0,5.707110264748875
TEAM,210.0,5.351858133476067
STMP,,
AUDC,91.0,4.5217885770490405
ACB,3700.0,8.216358332386156
ADSK,,
AVST,,
AVYA,700.0,6.55250788703459
BBLNF,1100.0,7.00397413672268
BH,1200.0,7.0909098220799835
BKKT,932.0,6.838405200847344
BI,946.0,6.853299093186078
BNXA,13.0,2.6390573296152584
BARK,,
BLI,272.0,5.60947179518496
BETCO.ST,,
BTTX,143.0,4.969813299576001
BYND,122.0,4.812184355372417
BBAI,200.0,5.303304908059076
BI1.MU,224.0,5.41610040220442
BILI,3700.0,8.216358332386156
0A75.L,280.0,5.638354669333745
BMRN,585.0,6.373319789577012
BLKB,,
BL,220.0,5.3981627015177525
BLND,665.0,6.501289670540389
BLNK,110.0,4.709530201312334
