company_fyi,ticker,confidence,status,period,announcement_date,edgar_8k_date,layoff_count,layoff_pct,industry,country,source_url,match_src,ticker_edgar,ticker_yfinance,yf_name,cik,ai_mentioned,ai_evidence,listing_region,benchmark_index,event_study_usable,exclusion_reason
SenseTime,0020.HK,MEDIUM,READY,post_genai,2023-08-28,,,,AI,Hong Kong,https://technode.com/2023/08/28/chinese-ai-company-sensetime-initiates-new-round-of-layoffs-in-overhaul/,yfinance_only,,0020.HK,SENSETIME-W,,1,"[WEAK] ...arge language models. In April, SenseTime introduced SenseNova, a competitor to ChatGPT.  Hong Kong-listed SenseTime remains under US sanctions and has not yet turned...",INTL,^HSI,True,
Samsung,005930.KS,MEDIUM,READY,post_genai,2023-03-14,,30.0,,Hardware,United States,https://www.zeebiz.com/companies/news-samsung-layoffs-2023-south-korean-giant-cuts-3-jobs-at-us-chip-subsidiary-225788,yfinance_only,,005930.KS,SamsungElec,,0,,INTL,^KS11,True,
NCSoft,036570.KS,MEDIUM,READY,post_genai,2023-02-02,,,20%,Consumer,South Korea,https://venturebeat.com/games/ncsoft-west-lays-off-20-of-its-staff-and-ceo-departs/,yfinance_only,,036570.KS,NCsoft,,0,,INTL,^KS11,True,
Tencent,0700.HK,MEDIUM,READY,pre_genai,2022-11-15,,,,Consumer,China,https://www.reuters.com/technology/chinas-tencent-starts-new-round-layoffs-sources-2022-11-15/,yfinance_only,,0700.HK,TENCENT,,0,,INTL,^HSI,True,
Lenovo,0992.HK,MEDIUM,READY,pre_genai,2022-12-08,,,,Hardware,United States,https://wraltechwire.com/2022/12/09/blindsided-lenovo-confirms-layoffs-but-denies-report-of-10-cuts/,yfinance_only,,0992.HK,LENOVO GROUP,,0,,INTL,^HSI,True,
Lenovo,0992.HK,MEDIUM,READY,post_genai,2025-07-16,,100.0,3%,Hardware,United States,https://www.newsobserver.com/news/business/article310699130.html,yfinance_only,,0992.HK,LENOVO GROUP,,0,,INTL,^HSI,True,
Bill.com,BILL,MEDIUM,DELISTED,post_genai,2023-12-05,,,15%,Finance,United States,https://www.investing.com/news/stock-market-news/bill-gains-on-plans-to-cut-workforce-by-15-432SI-3249756,yfinance_only,,BILL,BILL.COM HOLDINGS INC BILL COM ,,0,,US,^GSPC,False,
Bill.com,BILL,MEDIUM,DELISTED,post_genai,2025-10-15,,,6%,Finance,United States,https://www.bill.com/blog/a-message-to-bill-employees,yfinance_only,,BILL,BILL.COM HOLDINGS INC BILL COM ,,0,"[FALSE_POSITIVE_BILL_BOILERPLATE] [WEAK] ...ILL's Terms of Service and Privacy Notice . BILL How construction companies can automate expense reports Download now > October 15, 2025 ‍ The BILL Executive Leadership...",US,^GSPC,False,
Acast,0PN.SG,MEDIUM,DELISTED,pre_genai,2022-09-15,,70.0,15%,Media,Sweden,https://www.bloomberg.com/news/newsletters/2022-09-15/swedish-podcast-company-acast-lays-off-15-of-its-staff,yfinance_only,,0PN.SG,Acast AB,,0,,INTL,^MSCI,False,
Xiaomi,1810.HK,MEDIUM,READY,pre_genai,2022-12-19,,,,Consumer,China,https://technode.com/2022/12/19/chinese-phone-maker-xiaomi-begins-large-scale-layoffs-report/,yfinance_only,,1810.HK,XIAOMI-W,,0,,INTL,^HSI,True,
