ticker,announcement_date,prior_6m_return
0020.HK,2023-08-28,-0.44791667701469295
005930.KS,2023-03-14,0.05088153966295561
036570.KS,2023-02-02,0.31696290192977994
0700.HK,2022-11-15,-0.39194130473371724
0992.HK,2022-12-08,-0.07324414406709112
0992.HK,2025-07-16,0.006410293728656313
1810.HK,2022-12-19,-0.17990277468215576
5S0A.F,2022-12-05,-0.23972603746372012
9SL.F,2020-08-24,0.3104846994845265
AAPL,2023-04-03,0.02050410942374148
AAPL,2024-02-27,0.06532440274241313
ABNB,2023-03-03,0.10331771758842345
ABSI,2022-08-09,-0.5207100739887582
ABSI,2023-09-05,-0.35384615031924904
ACB,2024-01-24,-0.14362660073244393
ADBE,2022-12-06,-0.17096397206749359
ADI,2023-12-13,0.04239705526782478
ADPT,2022-03-08,-0.5576671101731288
ADSK,2023-02-02,0.07176883611097407
ADSK,2025-02-27,0.2465479877614969
AEYE,2023-03-28,-0.102964097211102
AFRM,2022-11-03,-0.4847525686928117
AFRM,2024-02-21,1.489514554075285
AKAM,2023-05-09,-0.04170629733242859
AKAM,2024-11-07,0.005186405388344806
AMAT,2025-10-23,0.6962907446672528
AMD,2024-11-13,0.04969058514053559
AMPL,2023-04-05,-0.23323076688326105
AMZN,2022-10-28,-0.2765251701200796
AMZN,2025-01-29,0.12324541387061871
APP,2022-06-27,-0.5804705365261025
APP,2024-08-15,0.8153990171428782
APPF,2023-05-22,0.147423052555822
APTV,2024-02-20,-0.23799964770271964
ARVLF,2022-07-13,-0.7884856070087602
ARVLF,2023-10-05,-0.8375000059604638
ASAN,2022-11-15,-0.2682060156082756
ASAN,2025-02-04,0.34212355013044626
AUDC,2023-05-09,-0.48314484626894305
AVGO,2025-10-17,0.9731347035122606
AZN,2022-11-08,-0.1575236857167327
AZN,2023-08-04,-0.01883059543626764
BARK,2023-02-09,0.5158730002547693
BBAI,2022-09-08,-0.7205588997606484
BFLY,2022-08-02,-0.470588264168338
BILI,2022-12-27,-0.02643680168477769
BIRD,2023-10-04,0.17757015010031907
BKKT,2024-05-03,-0.6315789473684195
BKNG,2024-12-04,0.33762296877027476
BL,2023-08-23,-0.28715026372811414
BLKB,2023-02-14,-0.004240024834098688
BLND,2023-08-09,-0.13333336512247407
BLNK,2025-05-19,-0.6483568203604522
BMBL,2024-02-27,-0.2062163720061856
BMBL,2025-06-25,-0.39455778488047544
BMRN,2022-10-07,0.05021020934885034
BOOZT.ST,2022-06-09,-0.4469472155332469
BOOZT.ST,2025-01-13,-0.0890510726149033
BPP.AX,2022-07-12,-0.45000253903784215
BTTX,2023-03-27,-0.4054054001807448
BYND,2022-08-03,-0.43586662150297284
BYND,2023-11-02,-0.45222069102369566
CARG,2020-04-16,-0.3880452320784096
CDLX,2022-11-14,-0.7149135881121819
CDXS,2022-11-29,-0.3764813139388834
CFLT,2023-01-26,-0.18885811458545698
CFRXQ,2022-08-15,-0.8602631484504545
CHGG,2023-06-12,-0.6710201299003384
CHGG,2024-06-17,-0.6245098043798881
CHGG,2025-05-12,-0.6257310108668666
CHWY,2023-11-14,-0.4092210024490456
CINT,2024-07-01,-0.0574257328514699
CLBT,2025-12-03,0.06756754333727111
CMPR,2023-03-23,0.2107330054516121
COF,2023-01-19,-0.11821729936740644
COHR,2023-03-16,-0.14260139902583835
COIN,2022-06-14,-0.751574923024117
COMP,2022-06-14,-0.3673683969598036
COUR,2022-11-09,-0.3877044950542723
COUR,2024-10-25,-0.43173150233679125
CRGO,2023-07-12,-0.6449704356269375
CRM,2020-08-26,0.015229238098724673
CRM,2022-10-13,-0.32138819448161593
CRM,2023-08-02,0.5225068732364988
CRM,2025-02-03,0.27723933599609296
CRM,2025-08-31,-0.2626769580627297
CRTO,2023-02-21,0.1539588984558551
CRTO,2024-04-12,0.25573070478103643
CRWD,2025-05-07,0.18724629939697812
CSCO,2022-11-16,-0.072611812360736
CSCO,2023-09-17,0.19964840378123982
CSCO,2025-08-19,0.1445855107379268
CUE,2022-06-27,-0.6984387795162973
CUE,2023-01-05,-0.08532423013787971
CVNA,2022-05-10,-0.7271077654362237
CVNA,2022-11-18,-0.7066639223511001
CXM,2023-02-15,-0.1379011439211998
CXM,2024-05-03,-0.1864285469055169
CXM,2025-02-06,-0.09319375136622332
CZOOF,2023-01-18,-0.7872167215947156
DASH,2022-11-30,-0.057303547732184934
DAY,2025-02-26,0.22275945758380367
DBX,2021-01-13,0.10850161421354088
DBX,2023-04-27,0.019108250493101497
DBX,2024-10-30,0.14516128361733283
DELL,2023-02-06,-0.08960457930689114
DELL,2023-08-07,0.3801720630447183
DELL,2024-03-25,0.7023565174945654
DH,2023-01-12,-0.5466342102857278
DHER.DE,2021-12-22,-0.1021142448790523
DHER.DE,2022-11-03,0.1427199707031266
DHER.DE,2023-12-18,-0.1466628219613868
DHER.DE,2024-07-31,-0.045760683877313246
DHX,2023-05-26,-0.41495323920834803
DKNG,2023-02-01,0.09000000586877066
DMRC,2023-02-17,0.3165769721940326
DMRC,2025-02-27,0.2135581338371939
DNA,2024-06-20,-0.6300699376717146
DOCN,2023-02-15,-0.29902075160743935
DOCS,2023-08-08,0.0507896978367659
DOCU,2022-09-28,-0.1680775248176668
DOCU,2024-02-06,0.19112556061796782
DOMO,2020-04-09,-0.4171394601537275
DOMO,2023-11-30,-0.33190581700480726
DOX,2023-01-02,0.14979142879459495
DOX,2023-07-06,0.110424751127566
DOX,2025-08-12,0.02995564565962683
DSP,2022-12-13,-0.3793677409281113
EA,2023-02-28,-0.13533213950138612
EA,2024-02-28,0.12895540986998255
EA,2025-04-29,-0.0030511101840362542
EB,2020-04-08,-0.579718307710028
EB,2023-02-28,0.05147059854752167
EB,2024-08-07,-0.3192848051544681
EBAY,2023-02-07,0.03125565287939058
EBAY,2023-12-17,-0.04879070907713967
EBAY,2025-02-26,0.23105267587833267
EDIT,2023-01-09,-0.3185185326470248
EGHT,2022-10-04,-0.6365187600834563
ENPH,2023-12-18,-0.41427473723980845
ENPH,2024-11-11,-0.25104974892795895
ENVX,2023-10-05,0.07692310862557084
ENVX,2024-05-06,-0.3980768789906435
ERIC,2023-02-24,-0.22142655475231565
ESTC,2022-11-30,0.11067269582593342
ETSY,2023-12-13,-0.08752577776309944
EVER,2023-07-11,-0.5026778766816611
