company_fyi,ticker,ticker_edgar,ticker_yfinance,yf_name,yf_exchange,cik,announcement_date,edgar_8k_date,layoff_count,layoff_pct,industry,country,source_url,match_src,confidence,mkt_cap_usd,currency,ticker_valid
Oracle,ORCL,,ORCL,Oracle Corporation,NYQ,,2026-03-31,,,,Other,United States,https://www.cnbc.com/2026/03/31/oracle-layoffs-ai-spending.html,yfinance_only,MEDIUM,417688148292.2058,USD,True
Meta,META,,META,"Meta Platforms, Inc.",NMS,,2026-03-25,,700.0,1%,Consumer,United States,https://www.nytimes.com/2026/03/25/technology/meta-layoffs-ai-executives.html?unlocked_article_code=1.V1A.GoAa.Bb73ytbBTorE,yfinance_only,MEDIUM,1465194362007.3398,USD,True
OpenText,,,,,,,2026-03-24,,,,Data,Canada,https://betakit.com/opentext-employees-report-job-cuts-tied-to-apparent-restructuring/,yfinance_only,NONE,,,
Spotify,SPOT,,SPOT,Spotify Technology S.A.,NYQ,,2026-03-23,,15.0,,Media,Sweden,https://variety.com/2026/digital/news/spotify-podcast-layoffs-the-ringer-spotify-studios-1236697019/,yfinance_only,MEDIUM,96766760633.96973,USD,True
Snowflake,SNOW,,SNOW,Snowflake Inc.,NYQ,,2026-03-19,,,,Data,United States,https://www.businessinsider.com/snowflake-layoffs-strategy-ai-growth-2026-3,yfinance_only,MEDIUM,52933582312.01172,USD,True
Stone,STNE,,STNE,StoneCo Ltd.,NMS,,2026-03-13,,400.0,3%,Finance,Brazil,https://jovempan.com.br/noticias/economia/stone-faz-demissao-em-massa-e-desliga-cerca-de-400-funcionarios.html,yfinance_only,MEDIUM,3574270932.6653643,USD,True
Atlassian,TEAM,,TEAM,Atlassian Corporation,NMS,,2026-03-11,,1600.0,10%,Other,Australia,https://au.finance.yahoo.com/news/atlassian-lay-off-1-600-212610757.html?guccounter=1,yfinance_only,MEDIUM,18295927137.774734,USD,True
Amazon,AMZN,,AMZN,"Amazon.com, Inc.",NMS,,2026-03-04,,100.0,,Retail,United States,https://finance.yahoo.com/news/amazon-cuts-more-jobs-time-212928090.html,yfinance_only,MEDIUM,2260452366220.8086,USD,True
MicroVision,MVIS,MVIS,MVIS,"Microvision, Inc.",NGM,65770.0,2026-03-03,2023-02-03,49.0,,Other,United States,https://www.bizjournals.com/seattle/news/2026/03/03/microvision-lidar-redmond-layoffs-warn-cars.html,EDGAR_exact,HIGH,199276898.44056666,USD,True
Block,XYZ,,XYZ,"Block, Inc.",NYQ,,2026-02-26,,4000.0,40%,Finance,United States,https://www.cnbc.com/2026/02/26/block-laying-off-about-4000-employees-nearly-half-of-its-workforce.html,yfinance_only,MEDIUM,36180374656.33392,USD,True
