company_fyi,ticker,announcement_date,ai_tier,ai_causal,ai_primary,ai_broad,ai_desktop,fetch_success,evidence,source_url
SenseTime,0020.HK,2023-08-28,3,1,1,1,1,1,[CAUSAL] ...Chinese AI company SenseTime has reportedly reduced staff across various departments. Affected individuals have been...,https://technode.com/2023/08/28/chinese-ai-company-sensetime-initiates-new-round-of-layoffs-in-overhaul/
Samsung,005930.KS,2023-03-14,0,0,0,0,0,0,,https://www.zeebiz.com/companies/news-samsung-layoffs-2023-south-korean-giant-cuts-3-jobs-at-us-chip-subsidiary-225788
NCSoft,036570.KS,2023-02-02,0,0,0,0,0,0,,https://venturebeat.com/games/ncsoft-west-lays-off-20-of-its-staff-and-ceo-departs/
Tencent,0700.HK,2022-11-15,0,0,0,0,0,0,,https://www.reuters.com/technology/chinas-tencent-starts-new-round-layoffs-sources-2022-11-15/
Lenovo,0992.HK,2022-12-08,0,0,0,0,0,0,,https://wraltechwire.com/2022/12/09/blindsided-lenovo-confirms-layoffs-but-denies-report-of-10-cuts/
Lenovo,0992.HK,2025-07-16,0,0,0,0,0,0,,https://www.newsobserver.com/news/business/article310699130.html
Xiaomi,1810.HK,2022-12-19,0,0,0,0,0,1,,https://technode.com/2022/12/19/chinese-phone-maker-xiaomi-begins-large-scale-layoffs-report/
Thinkific,5S0A.F,2022-12-05,0,0,0,0,0,1,,https://techcouver.com/2022/12/05/rebound-thinkific-labs-layoffs/
Superloop,9SL.F,2020-08-24,0,0,0,0,0,0,,https://www.arnnet.com.au/article/682373/superloop-reduces-losses-30-workers-laid-off-amid-covid-19/
Apple,AAPL,2023-04-03,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2023-04-03/apple-to-make-small-number-of-job-cuts-in-some-corporate-retail-teams#xj4y7vzkg
Apple,AAPL,2024-02-27,2,0,1,1,0,1,"[STRATEGIC] ...earned. Some remaining employees will be shifted to Apple’s generative AI projects, according to Bloomberg , which first reported the...",https://techcrunch.com/2024/02/27/apple-cancels-electric-car-project-titan/
Airbnb,ABNB,2023-03-03,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2023-03-03/airbnb-layoffs-hit-recruiting-staff-even-as-it-selectively-hires
Absci,ABSI,2022-08-09,0,0,0,0,0,0,,https://www.absci.com/message-from-ceo-08-09-2022/
Absci,ABSI,2023-09-05,0,0,0,0,0,0,,https://www.geekwire.com/2023/biotech-company-absci-lays-off-30-employees-about-15-of-staff/
Aurora,ACB,2024-01-24,2,0,1,1,0,1,[STRATEGIC] ...the needle. Tickets are limited. REGISTER NOW Most Popular Anthropic took down thousands of GitHub repos trying to yank its leak...,https://techcrunch.com/2024/01/24/self-driving-vehicle-company-aurora-cuts-3-of-its-workforce/
Adobe,ADBE,2022-12-06,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2022-12-06/adobe-cuts-100-jobs-concentrated-in-sales-as-tech-tightens-belt
Analog Devices,ADI,2023-12-13,0,0,0,0,0,0,,https://www.bizjournals.com/sanjose/news/2023/12/13/layoffs-come-to-analog-devices-as-111.html
Adaptive Biotechnologies,ADPT,2022-03-08,0,0,0,0,0,0,,https://www.geekwire.com/2022/adaptive-biotechnologies-lays-off-about-100-people-12-of-headcount-to-streamline-our-workforce/
Autodesk,ADSK,2023-02-02,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2023-02-03/autodesk-layoffs-hit-250-jobs-joining-tech-industry-peers
Autodesk,ADSK,2025-02-27,1,0,0,1,0,1,"[SPECIFIC] ...and protect the company's leadership in cloud computing and artificial intelligence, Anagnost wrote. San Francisco-based Autodesk will make fac...",https://www.cnbc.com/2025/02/27/autodesk-says-it-will-cut-1350-employees.html
AEye,AEYE,2023-03-28,0,0,0,0,0,0,,https://investors.aeye.ai/node/8921/html
Affirm,AFRM,2022-11-03,0,0,0,0,0,0,,https://www.theinformation.com/briefings/e-commerce-layoff-tally-mounts-with-faire-affirm-cuts
Affirm,AFRM,2024-02-21,0,0,0,0,0,0,,https://bnnbreaking.com/finance-nav/affirms-pittsburgh-layoffs-a-tale-of-corporate-strategy-and-employee-impact
Akamai,AKAM,2023-05-09,1,0,0,1,0,0,[URL_SIGNAL] https://www.bizjournals.com/boston/news/2023/05/09/akamai-cuts-global-workforce-2023.html,https://www.bizjournals.com/boston/news/2023/05/09/akamai-cuts-global-workforce-2023.html
Akamai,AKAM,2024-11-07,1,0,0,1,0,0,[URL_SIGNAL] https://www.bizjournals.com/boston/news/2024/11/07/akamai-layoffs-2024.html,https://www.bizjournals.com/boston/news/2024/11/07/akamai-layoffs-2024.html
Applied Material,AMAT,2025-10-23,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2025-10-23/applied-materials-to-cut-4-of-global-staff-after-sales-slow
AMD,AMD,2024-11-13,0,0,0,0,0,0,,https://www.techopedia.com/news/amd-layoffs-amid-mixed-earnings-and-intel-merger-speculation
Amplitude,AMPL,2023-04-05,0,0,0,0,0,1,,https://amplitude.com/blog/team-update
Amazon,AMZN,2022-10-28,0,0,0,0,0,0,,https://www.geekwire.com/2022/amazon-makes-staff-cuts-at-amp-the-app-it-launched-this-year-to-reimagine-radio/
Amazon,AMZN,2025-01-29,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2025-01-29/amazon-cuts-dozens-of-corporate-jobs-in-latest-round-of-layoffs
AppLovin,APP,2022-06-27,0,0,0,0,0,0,,https://www.bizjournals.com/sanjose/news/2022/06/29/applovin-lays-off-300-workers-report.html
AppLovin,APP,2024-08-15,1,0,0,1,0,1,[SPECIFIC] ...chip leviathan scrambles to deploy more resources into the artificial intelligence sector. San Jose-based Cisco disclosed on Aug. 14 its inten...,https://www.siliconvalley.com/2024/08/19/economy-tech-jobs-layoff-south-bay-silicon-valley-biotech-internet/
AppFolio,APPF,2023-05-22,0,0,0,0,0,0,,https://www.pacbiztimes.com/2023/05/22/appfolio-lays-off-62-people/
Aptiv,APTV,2024-02-20,0,0,0,0,0,1,,"https://wyborcza.biz/biznes/7,159911,30719165,w-pol-godziny-zwolnili-250-osob-dostal-godzine-na-spakowanie.html?disableRedirects=true"
Arrival,ARVLF,2022-07-13,2,0,1,1,0,1,[STRATEGIC] ...the needle. Tickets are limited. REGISTER NOW Most Popular Anthropic took down thousands of GitHub repos trying to yank its leak...,https://techcrunch.com/2022/07/13/arrival-to-slash-costs-cut-up-to-30-of-workforce-to-meet-on-ev-van-production-target/
Arrival,ARVLF,2023-10-05,2,0,1,1,0,1,[STRATEGIC] ...the needle. Tickets are limited. REGISTER NOW Most Popular Anthropic took down thousands of GitHub repos trying to yank its leak...,https://techcrunch.com/2023/10/10/cash-strapped-ev-maker-arrival-lays-off-yet-more-workers/
Asana,ASAN,2022-11-15,0,0,0,0,0,1,,https://www.linkedin.com/posts/anneraimondi_earlier-today-we-shared-the-incredibly-difficult-activity-6998297745270718465-a_MV/
Asana,ASAN,2025-02-04,0,0,0,0,0,0,,Internal memo
AudioCodes,AUDC,2023-05-09,1,0,0,1,0,1,"[SPECIFIC] ...selected by Enablis Take this down Mia: Audiocodes provides automated note-taking for Microsoft Teams users In Pivot, AudioCodes...",https://www.calcalistech.com/ctechnews/article/hjnggpd43
Broadcom,AVGO,2025-10-17,0,0,0,0,0,0,,https://www.businessinsider.com/broadcom-layoffs-rifs-cuts-sales-staff-ai-expansion-2025-10
Astra,AZN,2022-11-08,0,0,0,0,0,1,,https://www.linkedin.com/posts/chrisckemp_today-we-made-the-difficult-decision-to-activity-6995868932138033153-knfZ/
Astra,AZN,2023-08-04,2,0,1,1,0,1,[STRATEGIC] ...the needle. Tickets are limited. REGISTER NOW Most Popular Anthropic took down thousands of GitHub repos trying to yank its leak...,https://techcrunch.com/2023/08/04/astra-lays-off-25-of-workforce-reallocates-engineers-in-an-effort-to-fight-dwindling-cash-reserves/
Bark,BARK,2023-02-09,0,0,0,0,0,0,,https://investors.bark.co/news/news-details/2023/BARK-Reports-Third-Quarter-Fiscal-Year-2023-Results/default.aspx
BigBear.ai,BBAI,2022-09-08,1,0,0,1,0,0,[URL_SIGNAL] https://www.bizjournals.com/baltimore/news/2022/09/08/columbia-bigbear-ai-layoff-staff-cash-flow-issues.html,https://www.bizjournals.com/baltimore/news/2022/09/08/columbia-bigbear-ai-layoff-staff-cash-flow-issues.html
Butterfly Network,BFLY,2022-08-02,0,0,0,0,0,0,,Internal memo
Bilibili,BILI,2022-12-27,0,0,0,0,0,1,,https://technode.com/2022/12/27/bilibili-reportedly-cuts-30-of-staff-across-operations-gaming-and-streaming-units/
Bird,BIRD,2023-10-04,2,0,1,1,0,1,[STRATEGIC] ...the needle. Tickets are limited. REGISTER NOW Most Popular Anthropic took down thousands of GitHub repos trying to yank its leak...,https://techcrunch.com/2023/10/04/bird-lays-off-staff-after-spin-acquisition-to-reduce-redundancies/
Bakkt,BKKT,2024-05-03,0,0,0,0,0,1,,https://seekingalpha.com/news/4099966-crypto-platform-bakkt-to-lay-off-28-employees
Booking Holdings,BKNG,2024-12-04,1,0,0,1,0,1,"[SPECIFIC] ...As Booking Holdings resets its investment priorities in the AI era, its business-to-business services, which Expedia has f...",https://skift.com/2024/12/04/booking-holdings-laid-off-60-employees-at-b2b-arm-as-it-resets-priorities/
BlackLine,BL,2023-08-23,0,0,0,0,0,0,,https://beststocks.com/blackline-announces-workforce-reduction-to-st/
Blackbaud,BLKB,2023-02-14,0,0,0,0,0,1,,https://www.postandcourier.com/business/sc-tech-employer-blackbaud-has-cut-about-500-jobs-since-last-year/article_ef9dd60a-ac9b-11ed-8c4a-bbbeb9f0cda5.html
Blend,BLND,2023-08-09,0,0,0,0,0,1,,http://archive.fast-edgar.com/20230809/A7L2K22CZ22282Z2222G22ZZMTBIQQB2A252/
Blink Charging,BLNK,2025-05-19,0,0,0,0,0,1,,https://blinkcharging.com/news/blink-charging-announces-workforce-reduction-to-accelerate-blinkforward-initiative-and-strengthen-global-market-position
Bumble,BMBL,2024-02-27,1,0,0,1,0,1,[SPECIFIC] ...ative? These 6 chip suppliers look set to gain big from the AI boom Jefferies says buy this under-the-radar software stock...,https://www.cnbc.com/2024/02/27/bumble-layoffs-350-employees-or-about-37percent-of-workforce.html
Bumble,BMBL,2025-06-25,0,0,0,0,0,1,,https://www.cnbc.com/2025/06/25/bumble-layoffs.html
BioMarin,BMRN,2022-10-07,0,0,0,0,0,0,,https://www.fiercebiotech.com/biotech/biomarin-lays-120-employees-save-50m-year-us-hit-hardest
Boozt,BOOZT.ST,2022-06-09,0,0,0,0,0,1,,https://www.breakit.se/artikel/33353/sparpaket-pa-boozt-efter-vinstsmallen-sager-upp-personal
Boozt,BOOZT.ST,2025-01-13,1,0,0,1,0,1,[SPECIFIC] ...Boozt säger upp var tionde – pekar på AI - Breakit Logga in Prenumerera Nyheter Rapporter Data Kurse...,https://www.breakit.se/artikel/42184/boozt-sager-upp-var-tionde-pekar-pa-ai
Babylon,BPP.AX,2022-07-12,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2022-07-12/uk-health-app-babylon-plans-job-cuts-in-bid-to-slash-costs#xj4y7vzkg
Better Therapeutics,BTTX,2023-03-27,0,0,0,0,0,1,,https://www.mobihealthnews.com/news/prescription-digital-therapeutics-company-better-therapeutics-announces-layoffs
Beyond Meat,BYND,2022-08-03,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2022-08-03/beyond-meat-eliminates-about-40-positions-in-cost-cutting-move
Beyond Meat,BYND,2023-11-02,0,0,0,0,0,0,,https://investors.beyondmeat.com/news-releases/news-release-details/beyond-meatr-provides-select-third-quarter-financial-results
CarGurus,CARG,2020-04-16,0,0,0,0,0,1,,https://layoffs.fyi/2020/05/04/cargurus-laid-off-130-employees/
Cardlytics,CDLX,2022-11-14,0,0,0,0,0,1,,https://www.marketscreener.com/quote/stock/CARDLYTICS-INC-40680969/news/Cardlytics-to-Terminate-51-Employees-Appoints-John-Balen-Chairman-Shares-up-After-Hours-42312731/
Codexis,CDXS,2022-11-29,0,0,0,0,0,1,,https://www.codexis.com/investors/news-events/press-releases/detail/342/codexis-provides-update-on-prioritized-corporate-strategy
Confluent,CFLT,2023-01-26,0,0,0,0,0,0,,https://investors.confluent.io/node/8216/html
ContraFect,CFRXQ,2022-08-15,0,0,0,0,0,1,,https://www.benzinga.com/general/biotech/22/08/28497436/contrafect-cuts-workforce-after-trial-setback
Chegg,CHGG,2023-06-12,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2023-06-12/chegg-slashes-4-of-workforce-following-shift-to-embrace-ai#xj4y7vzkg
Chegg,CHGG,2024-06-17,0,0,0,0,0,0,,https://www.businesswire.com/news/home/20240617323391/en/Chegg-Announces-Restructuring-Plan-and-New-Vision-for-Growth
Chegg,CHGG,2025-05-12,0,0,0,0,0,0,,https://www.reuters.com/world/americas/chegg-lay-off-22-workforce-ai-tools-shake-up-edtech-industry-2025-05-12/
Chewy,CHWY,2023-11-14,2,0,1,1,0,1,[STRATEGIC] ...the needle. Tickets are limited. REGISTER NOW Most Popular Anthropic took down thousands of GitHub repos trying to yank its leak...,https://techcrunch.com/2023/11/14/online-pet-goods-retailer-chewy-lays-off-200-employees/
Cint,CINT,2024-07-01,0,0,0,0,0,1,,https://investors.cint.com/en/press/organizational-changes-cint-group-2248206
