outcome,spec,variable,coef,se,pval,stars,N,R2,sample
"CAR[-1,+1]",DID (no controls),ai_mentioned,8.654537603626476,9.414862637691437,0.3579689827748098,,182,0.014497790174515801,"Core tech, US only"
"CAR[-1,+1]",DID (no controls),post_chatgpt,0.03963038857112278,1.7246641922472496,0.9816673339350456,,182,0.014497790174515801,"Core tech, US only"
"CAR[-1,+1]",DID (no controls),ai_x_post,-9.628597887648118,9.595241560236921,0.31563108677203633,,182,0.014497790174515801,"Core tech, US only"
"CAR[-1,+1]",DID (no controls),const,-1.028178418745775,1.5904257174610965,0.5179685450720233,,182,0.014497790174515801,"Core tech, US only"
"CAR[-1,+1]",DID + controls,ai_mentioned,-1.0880918797045096,4.2721509667008295,0.7989593311835025,,80,0.08240367081364963,"Core tech, US only"
"CAR[-1,+1]",DID + controls,post_chatgpt,-0.6894845229447968,2.9725140601797064,0.8165742655852006,,80,0.08240367081364963,"Core tech, US only"
"CAR[-1,+1]",DID + controls,ai_x_post,-1.511601373282395,6.9492721117689,0.8278036041283925,,80,0.08240367081364963,"Core tech, US only"
"CAR[-1,+1]",DID + controls,log_count,1.3691650011856362,0.8566247519310465,0.10997060288709988,,80,0.08240367081364963,"Core tech, US only"
"CAR[-1,+1]",DID + controls,layoff_pct_n,-0.20586315472342115,0.30905065778699997,0.5053378543569811,,80,0.08240367081364963,"Core tech, US only"
"CAR[-1,+1]",DID + controls,beta_mkt_ff4,-1.2300826772795215,3.9473149605311475,0.7553254067649865,,80,0.08240367081364963,"Core tech, US only"
"CAR[-1,+1]",DID + controls,intl,-1.3934900808556767e-16,3.4125950310957585e-15,0.9674284435196735,,80,0.08240367081364963,"Core tech, US only"
"CAR[-1,+1]",DID + controls,prior_6m_return,-5.362934068776282,4.078758128275001,0.18856205489085898,,80,0.08240367081364963,"Core tech, US only"
"CAR[-1,+1]",DID + controls,log_funds_raised,-0.10114950126910122,0.6726554420156099,0.8804700082614239,,80,0.08240367081364963,"Core tech, US only"
"CAR[-1,+1]",DID + controls,const,-4.676798674947239,6.808764391678297,0.49215885195550313,,80,0.08240367081364963,"Core tech, US only"
"CAR[0,+20]",DID (no controls),ai_mentioned,3.5385136594823887,37.572346093464034,0.9249672267289201,,182,0.013794148863863875,"Core tech, US only"
"CAR[0,+20]",DID (no controls),post_chatgpt,-2.2727623448465684,4.15257062549765,0.5841626458602704,,182,0.013794148863863875,"Core tech, US only"
"CAR[0,+20]",DID (no controls),ai_x_post,3.3467955696080653,38.112970997135115,0.9300256962451217,,182,0.013794148863863875,"Core tech, US only"
"CAR[0,+20]",DID (no controls),const,3.302097602789402,3.961292324856427,0.40451150286329396,,182,0.013794148863863875,"Core tech, US only"
"CAR[0,+20]",DID + controls,ai_mentioned,-18.79518456195698,15.92469328861802,0.23789916740381356,,80,0.08596989686878309,"Core tech, US only"
"CAR[0,+20]",DID + controls,post_chatgpt,-0.7871041846183764,7.339529476535426,0.9145971731315776,,80,0.08596989686878309,"Core tech, US only"
"CAR[0,+20]",DID + controls,ai_x_post,35.46480261250555,26.642055632583425,0.1831368164601307,,80,0.08596989686878309,"Core tech, US only"
"CAR[0,+20]",DID + controls,log_count,2.5026128873886573,1.7779274538166758,0.1592491802811501,,80,0.08596989686878309,"Core tech, US only"
"CAR[0,+20]",DID + controls,layoff_pct_n,-0.13426887201726606,0.5605284976756184,0.8106870555160722,,80,0.08596989686878309,"Core tech, US only"
"CAR[0,+20]",DID + controls,beta_mkt_ff4,-4.600325528499608,10.886941461935738,0.6726203681542793,,80,0.08596989686878309,"Core tech, US only"
"CAR[0,+20]",DID + controls,intl,-1.7873326115199322e-14,1.2699565044983513e-14,0.15930978501698245,,80,0.08596989686878309,"Core tech, US only"
"CAR[0,+20]",DID + controls,prior_6m_return,-4.409714417258414,9.31049527880795,0.6357649629178248,,80,0.08596989686878309,"Core tech, US only"
"CAR[0,+20]",DID + controls,log_funds_raised,-1.1966199741467518,1.6559067038053263,0.4699027367276023,,80,0.08596989686878309,"Core tech, US only"
"CAR[0,+20]",DID + controls,const,-0.32278614645587567,15.1575386997929,0.983009997655259,,80,0.08596989686878309,"Core tech, US only"
"CAR[-5,+30]",DID (no controls),ai_mentioned,-22.02281190339674,14.880969825556619,0.13889160162194877,,182,0.03267704461752019,"Core tech, US only"
"CAR[-5,+30]",DID (no controls),post_chatgpt,-9.199523988677836,5.236784604464748,0.07896685793052674,*,182,0.03267704461752019,"Core tech, US only"
