company_fyi,ticker,announcement_date,ai_causal,ai_primary,ai_broad,post_chatgpt,CAR_1_1,CAR_0_20,CAR_5_30
SenseTime,0020.HK,2023-08-28,1,1,1,1,-1.7514404258634602,-18.51937637420294,-11.98020418533601
Tencent,0700.HK,2022-11-15,0,0,0,0,15.21438021409354,29.60014547911299,41.67135538154379
Superloop,9SL.F,2020-08-24,0,0,0,0,0.03779495647241,-14.235420618029359,-25.66855899084823
Apple,AAPL,2023-04-03,0,0,0,1,-0.12471887119300999,-2.08683201851902,-3.1300028671200604
Apple,AAPL,2024-02-27,0,1,1,1,-0.27780891967793,-8.15325784309985,-10.94029261648032
Airbnb,ABNB,2023-03-03,0,0,0,1,3.35253915721096,3.79286816698165,-2.02096938902324
Absci,ABSI,2022-08-09,0,0,0,0,11.51412778121939,27.25674060572952,32.67001350171389
Absci,ABSI,2023-09-05,0,0,0,1,-3.6495842856906697,-5.8950915324152895,12.901881063889082
Aurora,ACB,2024-01-24,0,0,0,1,-2.80347125431989,-18.67869681063851,-33.08626440979264
Adobe,ADBE,2022-12-06,0,0,0,1,-0.17294574193867002,9.06968217569007,10.09264802696913
Analog Devices,ADI,2023-12-13,0,0,0,1,2.2609525376277,-4.302427456737091,0.8433427570146699
Adaptive Biotechnologies,ADPT,2022-03-08,0,0,0,0,2.41278975692127,3.96809414039662,-11.806347393047579
Autodesk,ADSK,2023-02-02,0,0,0,1,-1.4877971184835799,-3.2555673503049496,-3.2766305918726
Autodesk,ADSK,2025-02-27,0,0,1,1,-3.05460117236845,1.10757700482551,7.32228687855002
AEye,AEYE,2023-03-28,0,0,0,1,20.78065388370606,7.187502787004579,14.83356259145589
Affirm,AFRM,2022-11-03,0,0,0,0,-1.62389569168714,-32.00783708905543,-48.391413083933585
Affirm,AFRM,2024-02-21,0,0,0,1,-0.45171838359507005,-12.46740905969771,-39.58187483404359
Akamai,AKAM,2023-05-09,0,0,1,1,9.12874561833292,16.2379412860112,9.53092773961781
Akamai,AKAM,2024-11-07,0,0,1,1,-13.524083601417361,-5.3665119872777405,-3.35798669068169
Applied Material,AMAT,2025-10-23,0,0,0,1,1.0760149125824099,7.70577155707759,15.61033978494219
AMD,AMD,2024-11-13,0,0,0,1,-3.2606755929656996,-10.6793249915115,-19.189367687917187
Amplitude,AMPL,2023-04-05,0,0,0,1,-6.78888114039216,-3.3451699776858304,-24.098013714850268
Amazon,AMZN,2022-10-28,0,0,0,0,-11.91451504215242,-21.16852462748908,-35.73226055652402
Amazon,AMZN,2025-01-29,0,0,0,1,-2.68938882916996,-5.93498645543383,-1.49132188043306
AppLovin,APP,2022-06-27,0,0,0,0,1.40316207222012,-19.46016721080236,-33.78397332722251
AppLovin,APP,2024-08-15,0,0,1,1,2.6139545531836,14.754979354563218,34.39149854494555
AppFolio,APPF,2023-05-22,0,0,0,1,-1.69054998799842,8.520017225809049,7.54829314647328
Aptiv,APTV,2024-02-20,0,0,0,1,0.93878875494078,1.81881396579995,-1.737555903415
Arrival,ARVLF,2022-07-13,0,0,0,0,-2.45668940817505,-4.70668912563595,-35.3250409436481
Arrival,ARVLF,2023-10-05,0,0,0,1,3.8210618836105796,25.238965648104276,49.30447586051377
Asana,ASAN,2022-11-15,0,0,0,0,2.1549678033213797,-28.28775971926164,-10.92615111020613
Asana,ASAN,2025-02-04,0,0,0,1,2.08212222684002,5.25517195752468,-6.41008448464695
AudioCodes,AUDC,2023-05-09,0,0,1,1,-6.28732353208465,-6.35698596258048,-5.39179217011631
Broadcom,AVGO,2025-10-17,0,0,0,1,-1.8683202467069602,-5.5291315582159895,6.35614606361339
Astra,AZN,2022-11-08,0,0,0,0,-0.03585101953446,9.93206715499702,13.023631573693681
Astra,AZN,2023-08-04,0,0,0,1,-0.7577955463874799,-2.9169034613392,-1.63430439807867
Bark,BARK,2023-02-09,0,0,0,1,-16.51886793049289,-36.3114217059695,-36.31930585483183
BigBear.ai,BBAI,2022-09-08,0,0,1,0,14.187997110118461,33.26020015086052,-1.2375327587559701
Butterfly Network,BFLY,2022-08-02,0,0,0,0,17.61487911709963,36.025635323926956,45.86576376707428
Bilibili,BILI,2022-12-27,0,0,0,1,3.90892481560641,-7.88377840276359,-31.64096475410309
Bird,BIRD,2023-10-04,0,0,0,1,-6.96816652037226,-13.64040129288079,-15.75068068186881
Bakkt,BKKT,2024-05-03,0,0,0,1,-3.31198623512294,61.17672871944352,77.6979205342542
Booking Holdings,BKNG,2024-12-04,0,0,1,1,0.12531768200138002,-5.63661609052337,-12.42945263894106
BlackLine,BL,2023-08-23,0,0,0,1,2.25903908716605,9.06733312815565,17.42551239589194
Blackbaud,BLKB,2023-02-14,0,0,0,1,-4.34314706442124,-3.1660342432237303,16.356886360546
Blend,BLND,2023-08-09,0,0,0,1,13.592551890441229,5.95769179927362,16.58804276951268
