outcome,spec,variable,coef,se,pval,stars,N,R2,sample
"CAR[-1,+1]",DID (no controls),ai_mentioned,8.652399856432469,9.415060867745844,0.35809785446054454,,180,0.014596896451736452,"Core tech, US only"
"CAR[-1,+1]",DID (no controls),post_chatgpt,-0.046945765778844795,1.7289006888215486,0.9783372755342569,,180,0.014596896451736452,"Core tech, US only"
"CAR[-1,+1]",DID (no controls),ai_x_post,-9.542021733298167,9.596003939926588,0.3200405721521573,,180,0.014596896451736452,"Core tech, US only"
"CAR[-1,+1]",DID (no controls),const,-1.0260406715517512,1.5915987621010517,0.5191472933673047,,180,0.014596896451736452,"Core tech, US only"
"CAR[-1,+1]",DID + controls,ai_mentioned,-1.0095578760841222,4.407510955950002,0.8188269700758118,,79,0.0900675679876779,"Core tech, US only"
"CAR[-1,+1]",DID + controls,post_chatgpt,-0.6568898744665541,2.9729539236061457,0.825127251687948,,79,0.0900675679876779,"Core tech, US only"
"CAR[-1,+1]",DID + controls,ai_x_post,-1.9894433026804434,7.125090105156499,0.7800786192170291,,79,0.0900675679876779,"Core tech, US only"
"CAR[-1,+1]",DID + controls,log_count,1.554716995575212,0.857681732800557,0.06987858696619648,*,79,0.0900675679876779,"Core tech, US only"
"CAR[-1,+1]",DID + controls,layoff_pct_n,-0.18880389375682358,0.3110216817543463,0.5438216100125275,,79,0.0900675679876779,"Core tech, US only"
"CAR[-1,+1]",DID + controls,beta_mkt_ff4,-0.6157352505511889,4.03679153704714,0.8787682591231245,,79,0.0900675679876779,"Core tech, US only"
"CAR[-1,+1]",DID + controls,intl,8.193638961969027e-16,8.877733983413509e-16,0.3560371143483284,,79,0.0900675679876779,"Core tech, US only"
"CAR[-1,+1]",DID + controls,prior_6m_return,-5.644900330290621,4.0829572023447565,0.16680229934243584,,79,0.0900675679876779,"Core tech, US only"
"CAR[-1,+1]",DID + controls,log_funds_raised,-0.19980937395807008,0.6739711396051431,0.7668744029352217,,79,0.0900675679876779,"Core tech, US only"
"CAR[-1,+1]",DID + controls,const,-6.12768851457168,6.931941543186402,0.37670772351406645,,79,0.0900675679876779,"Core tech, US only"
"CAR[0,+20]",DID (no controls),ai_mentioned,3.7062332009121874,37.56534875941634,0.9214074705867277,,180,0.012247894522532499,"Core tech, US only"
"CAR[0,+20]",DID (no controls),post_chatgpt,-2.133242805684536,4.094726316277088,0.6023854182542127,,180,0.012247894522532499,"Core tech, US only"
"CAR[0,+20]",DID (no controls),ai_x_post,2.6320787006634188,38.047297741119735,0.9448470405039182,,180,0.012247894522532499,"Core tech, US only"
"CAR[0,+20]",DID (no controls),const,3.134378061359604,3.894364304028354,0.42090639988100564,,180,0.012247894522532499,"Core tech, US only"
"CAR[0,+20]",DID + controls,ai_mentioned,-18.69104414054938,22.222264749361255,0.40029450495002294,,79,0.08394873461377617,"Core tech, US only"
"CAR[0,+20]",DID + controls,post_chatgpt,-0.673980776759147,7.305821627763116,0.9264973760851832,,79,0.08394873461377617,"Core tech, US only"
"CAR[0,+20]",DID + controls,ai_x_post,33.93984241375775,30.111171230365258,0.259678564282224,,79,0.08394873461377617,"Core tech, US only"
"CAR[0,+20]",DID + controls,log_count,2.6284006420189416,1.8471571974042118,0.15475248529819496,,79,0.08394873461377617,"Core tech, US only"
"CAR[0,+20]",DID + controls,layoff_pct_n,-0.13908325020514228,0.5538310566404809,0.8017140811759256,,79,0.08394873461377617,"Core tech, US only"
"CAR[0,+20]",DID + controls,beta_mkt_ff4,-3.889633800731439,10.834073442468018,0.7195811802912979,,79,0.08394873461377617,"Core tech, US only"
"CAR[0,+20]",DID + controls,intl,1.0850311701192172e-15,2.306490361230879e-15,0.6380512695063818,,79,0.08394873461377617,"Core tech, US only"
"CAR[0,+20]",DID + controls,prior_6m_return,-4.289243744871879,9.142020583105761,0.638941720488608,,79,0.08394873461377617,"Core tech, US only"
"CAR[0,+20]",DID + controls,log_funds_raised,-1.2770156530932255,1.6926575834472397,0.4505825548073711,,79,0.08394873461377617,"Core tech, US only"
"CAR[0,+20]",DID + controls,const,-1.417130439887425,15.73529986017923,0.9282390639739357,,79,0.08394873461377617,"Core tech, US only"
"CAR[0,+60]",DID (no controls),ai_mentioned,-23.885129479949992,35.88990776403913,0.5057236911215068,,180,0.0524051878588605,"Core tech, US only"
"CAR[0,+60]",DID (no controls),post_chatgpt,-15.233866647410677,7.485336322304764,0.04183464769079905,**,180,0.0524051878588605,"Core tech, US only"
"CAR[0,+60]",DID (no controls),ai_x_post,40.011783474670075,37.584111584788715,0.2870601323899805,,180,0.0524051878588605,"Core tech, US only"
"CAR[0,+60]",DID (no controls),const,18.16744492635605,7.154490892129724,0.011107248179527993,**,180,0.0524051878588605,"Core tech, US only"
"CAR[0,+60]",DID + controls,ai_mentioned,-41.612493964915934,26.708808147107305,0.11923173156782255,,79,0.1274527554803626,"Core tech, US only"
"CAR[0,+60]",DID + controls,post_chatgpt,-12.269585788662756,12.690547589585435,0.33362966828068286,,79,0.1274527554803626,"Core tech, US only"
"CAR[0,+60]",DID + controls,ai_x_post,77.26316333192361,40.13049812896616,0.0541921015975807,*,79,0.1274527554803626,"Core tech, US only"
"CAR[0,+60]",DID + controls,log_count,2.4294295618502733,3.3755187999495986,0.4716971959772349,,79,0.1274527554803626,"Core tech, US only"
"CAR[0,+60]",DID + controls,layoff_pct_n,-0.28353579896658565,0.7769488973365818,0.7151599722220683,,79,0.1274527554803626,"Core tech, US only"
"CAR[0,+60]",DID + controls,beta_mkt_ff4,-24.84287718256693,19.036507952622436,0.19188865674085787,,79,0.1274527554803626,"Core tech, US only"
"CAR[0,+60]",DID + controls,intl,4.7759587823347015e-15,3.9573419317032755e-15,0.22748595755585888,,79,0.1274527554803626,"Core tech, US only"
"CAR[0,+60]",DID + controls,prior_6m_return,-15.418288108923617,15.929843916821945,0.33310083039607186,,79,0.1274527554803626,"Core tech, US only"
"CAR[0,+60]",DID + controls,log_funds_raised,-0.644901887139701,3.1015967764672085,0.8352869300601928,,79,0.1274527554803626,"Core tech, US only"
"CAR[0,+60]",DID + controls,const,31.218524461619342,28.48851440937952,0.27315385755845223,,79,0.1274527554803626,"Core tech, US only"
