company_fyi,ticker,announcement_date,ai_causal,ai_primary,ai_broad,post_chatgpt,CAR_1_1,CAR_0_20,CAR_5_30,beta_mkt_ff4,listing_region,layoff_count,layoff_pct,industry,event_sequence,is_first_event
Apple,AAPL,2023-04-03,0,0,0,1,-0.1247188711930099,-2.08683201851902,-3.1300028671200604,1.1931041153521889,US,,,Retail,1,1
Airbnb,ABNB,2023-03-03,0,0,0,1,3.35253915721096,3.79286816698165,-2.02096938902324,1.2855934082579228,US,30.0,,Travel,1,1
Absci,ABSI,2022-08-09,0,0,0,0,11.51412778121939,27.25674060572952,32.67001350171389,1.3504741471576271,US,40.0,,Healthcare,1,1
Aurora,ACB,2024-01-24,0,0,0,1,-2.80347125431989,-18.67869681063851,-33.08626440979264,1.4282662124229533,US,,3%,Transportation,1,1
Adobe,ADBE,2022-12-06,0,0,0,1,-0.17294574193867,9.06968217569007,10.09264802696913,1.1229161381524455,US,100.0,,Marketing,1,1
Analog Devices,ADI,2023-12-13,0,0,0,1,2.2609525376277,-4.302427456737091,0.8433427570146699,1.0779617412432594,US,111.0,,Manufacturing,1,1
Adaptive Biotechnologies,ADPT,2022-03-08,0,0,0,0,2.41278975692127,3.96809414039662,-11.80634739304758,1.0366843492027202,US,100.0,12%,Healthcare,1,1
Autodesk,ADSK,2023-02-02,0,0,0,1,-1.48779711848358,-3.2555673503049496,-3.2766305918726,1.1516297196856198,US,250.0,2%,Other,1,1
AEye,AEYE,2023-03-28,0,0,0,1,20.78065388370606,7.187502787004579,14.83356259145589,0.2686597513220167,US,46.0,33%,Transportation,1,1
Affirm,AFRM,2022-11-03,0,0,0,0,-1.62389569168714,-32.00783708905543,-48.391413083933585,2.247006409709534,US,,1%,Finance,1,1
Akamai,AKAM,2023-05-09,0,0,1,1,9.12874561833292,16.2379412860112,9.53092773961781,0.7260235278324052,US,290.0,3%,Security,1,1
Applied Material,AMAT,2025-10-23,0,0,0,1,1.07601491258241,7.70577155707759,15.61033978494219,1.1325756804524754,US,1400.0,4%,Manufacturing,1,1
AMD,AMD,2024-11-13,0,0,0,1,-3.2606755929656996,-10.6793249915115,-19.189367687917187,2.076952366573737,US,1000.0,4%,Hardware,1,1
Amplitude,AMPL,2023-04-05,0,0,0,1,-6.78888114039216,-3.3451699776858304,-24.098013714850268,0.9442231950024096,US,99.0,13%,Data,1,1
Amazon,AMZN,2022-10-28,0,0,0,0,-11.91451504215242,-21.16852462748908,-35.73226055652402,1.2460192279076998,US,150.0,,Retail,1,1
AppLovin,APP,2022-06-27,0,0,0,0,1.40316207222012,-19.46016721080236,-33.78397332722251,1.3518700882801251,US,300.0,12%,Marketing,1,1
AppFolio,APPF,2023-05-22,0,0,0,1,-1.69054998799842,8.520017225809049,7.54829314647328,0.709652390647381,US,62.0,,Real Estate,1,1
Aptiv,APTV,2024-02-20,0,0,0,1,0.93878875494078,1.81881396579995,-1.737555903415,1.2115254922895604,US,250.0,,Transportation,1,1
Arrival,ARVLF,2022-07-13,0,0,0,0,-2.45668940817505,-4.70668912563595,-35.3250409436481,1.8540115917233944,US,,30%,Transportation,1,1
Asana,ASAN,2022-11-15,0,0,0,0,2.1549678033213797,-28.28775971926164,-10.92615111020613,1.6196942153501006,US,180.0,9%,Other,1,1
AudioCodes,AUDC,2023-05-09,0,0,1,1,-6.28732353208465,-6.35698596258048,-5.39179217011631,0.8452345184888745,US,80.0,6%,Other,1,1
Broadcom,AVGO,2025-10-17,0,0,0,1,-1.86832024670696,-5.5291315582159895,6.35614606361339,1.1987656914001503,US,247.0,,Hardware,1,1
Astra,AZN,2022-11-08,0,0,0,0,-0.03585101953446,9.93206715499702,13.02363157369368,0.5643842477732994,US,,16%,Aerospace,1,1
Bark,BARK,2023-02-09,0,0,0,1,-16.51886793049289,-36.3114217059695,-36.31930585483183,1.1542064259443126,US,126.0,12%,Retail,1,1
BigBear.ai,BBAI,2022-09-08,0,0,1,0,14.18799711011846,33.26020015086052,-1.23753275875597,-0.0396936451880424,US,,7%,Data,1,1
Butterfly Network,BFLY,2022-08-02,0,0,0,0,17.61487911709963,36.025635323926956,45.86576376707428,1.2617003245275422,US,,10%,Healthcare,1,1
Bilibili,BILI,2022-12-27,0,0,0,1,3.90892481560641,-7.88377840276359,-31.64096475410309,0.9811044092448948,US,,30%,Media,1,1
Bird,BIRD,2023-10-04,0,0,0,1,-6.96816652037226,-13.64040129288079,-15.75068068186881,1.2881094677508258,US,,,Transportation,1,1
Bakkt,BKKT,2024-05-03,0,0,0,1,-3.31198623512294,61.17672871944352,77.6979205342542,2.0700534593587703,US,28.0,,Crypto,1,1
Booking Holdings,BKNG,2024-12-04,0,0,1,1,0.12531768200138,-5.63661609052337,-12.42945263894106,0.9143096338534742,US,60.0,,Travel,1,1
BlackLine,BL,2023-08-23,0,0,0,1,2.25903908716605,9.06733312815565,17.42551239589194,1.0674393346121076,US,95.0,5%,Finance,1,1
Blackbaud,BLKB,2023-02-14,0,0,0,1,-4.34314706442124,-3.1660342432237303,16.356886360546,0.7920803958289797,US,500.0,14%,Other,1,1
Blend,BLND,2023-08-09,0,0,0,1,13.592551890441229,5.95769179927362,16.58804276951268,0.6419470662403504,US,150.0,19%,Finance,1,1
Blink Charging,BLNK,2025-05-19,0,0,0,1,4.2577048440178,20.95965397290318,6.951882585983251,0.8164774819583784,US,,20%,Other,1,1
Bumble,BMBL,2024-02-27,0,0,1,1,-14.7357253299004,-7.513408510461041,-6.905406890174,1.0503420145070748,US,350.0,30%,Consumer,1,1
BioMarin,BMRN,2022-10-07,0,0,0,0,0.5351752194024001,-9.13557362017534,-1.78956064335617,0.5965745245264377,US,120.0,4%,Healthcare,1,1
Better Therapeutics,BTTX,2023-03-27,0,0,0,1,-26.04630754396373,47.26730228725476,-2.05724433476095,0.0228841624676179,US,,35%,Healthcare,1,1
Beyond Meat,BYND,2022-08-03,0,0,0,0,-13.50362657406732,-16.93764880812865,-40.219692616525435,1.517305479103399,US,40.0,4%,Food,1,1
CarGurus,CARG,2020-04-16,0,0,0,0,-7.80059411997346,14.393862395745192,25.78947250850156,0.9930133359730278,US,130.0,13%,Transportation,1,1
Cardlytics,CDLX,2022-11-14,0,0,0,0,4.15333869662482,18.559278168647214,49.20711786945044,1.8098104264718755,US,51.0,,Marketing,1,1
Codexis,CDXS,2022-11-29,0,0,0,0,-0.8576123546928099,-0.27302070536253,20.688758987602853,1.1130585618460838,US,,18%,Healthcare,1,1
Confluent,CFLT,2023-01-26,0,0,0,1,-4.22494265701348,7.552871822310781,6.06091252359078,1.6845454629030094,US,221.0,8%,Data,1,1
ContraFect,CFRXQ,2022-08-15,0,0,0,0,8.44976993359556,-1.12242213185675,-10.209229204391267,0.6850106223718392,US,16.0,37%,Healthcare,1,1
Chegg,CHGG,2023-06-12,0,0,0,1,2.11941597224912,-11.07376767984166,-1.52781945473275,0.8155197924855402,US,80.0,4%,Education,1,1
Chewy,CHWY,2023-11-14,0,0,0,1,-0.5502707635991301,-4.85941479809442,8.519666117858069,1.284747874072511,US,200.0,,Retail,1,1
Cint,CINT,2024-07-01,0,0,0,1,7.48347264996938,20.68346443454334,33.656078463528196,0.5093812149429036,US,,,Data,1,1
Cellebrite,CLBT,2025-12-03,0,0,1,1,4.77592087781601,-0.43859725719352,-5.54039898891907,0.6955573306320697,US,20.0,1%,Other,1,1
Cimpress,CMPR,2023-03-23,0,0,0,1,-4.2998506874515,37.8359397010639,43.04946181567784,1.4597880613060528,US,500.0,,Retail,1,1
